handle,title,category
ready-to-wear-lavender-linen-woven-border-floral-printed-saree-56rs156,Ready To Wear Lavender Linen Woven Border Floral Printed Saree,
ready-to-wear-lemon-yellow-chanderi-cotton-printed-saree-76rs518,Ready To Wear Lemon Green Chanderi Cotton Printed Saree,
ready-to-wear-light-beige-chanderi-cotton-printed-saree-76rs521,Ready To Wear Light Beige Chanderi Cotton Printed Saree,
ready-to-wear-light-peach-georgette-floral-printed-saree-58rs183,Ready To Wear Light Peach Georgette Floral Printed Saree,
ready-to-wear-light-purple-linen-printed-saree-with-pocket-48rs447,Ready To Wear Light Purple Linen Printed Saree With Pocket,
ready-to-wear-lime-green-cotton-printed-saree-98rs234,Ready To Wear Lime Green Cotton Printed Saree,
ready-to-wear-lime-yellow-cotton-printed-saree-98rs233,Ready To Wear Lime Yellow Cotton Printed Saree,
ready-to-wear-maroon-cotton-printed-saree-98rs237,Ready To Wear Maroon Cotton Printed Saree,
ready-to-wear-multicoloured-cotton-printed-saree-83rs212,Ready To Wear Multicoloured Cotton Printed Saree,
ready-to-wear-mustard-yellow-cotton-printed-saree-98rs236,Ready To Wear Mustard Yellow Cotton Printed Saree,
